IdCategoría,IdProducto,NombreProducto,Stock,PrecioUnidad,Medida,Contador,LongHoja,DenominaciónCompleta
ALA,4,ALAMBRE EXTRA,4,461.7547,U,625.0,0,ALA 4 ALAMBRE EXTRA U
PIT,1,PITONES 14 X 20 -300 U-,4,73.2154,U,626.0,0,PIT 1 PITONES 14 X 20 -300 U- U
PIT,2,PITONES 15 X 25 -300 U-,5,73.2154,U,627.0,0,PIT 2 PITONES 15 X 25 -300 U- U
PIT,3,PITONES 16 X 30 -200 U-,7,73.2154,U,628.0,0,PIT 3 PITONES 16 X 30 -200 U- U
PIT,4,PITONES 17 X 35 -200 U-,6,73.2154,U,629.0,0,PIT 4 PITONES 17 X 35 -200 U- U
SOP,1,SOPORTES CUADROS N*20 -100U-,1,415.5472,U,630.0,0,SOP 1 SOPORTES CUADROS N*20 -100U- U
SOP,2,SOPORTES CUADROS N*25 -100U-,3,484.8052,U,631.0,0,SOP 2 SOPORTES CUADROS N*25 -100U- U
SOP,3,SOPORTES CUADROS N*35 -100U-,5,519.434,U,632.0,0,SOP 3 SOPORTES CUADROS N*35 -100U- U
PRE,1,PRENSA VIDRIO 26CH -UNIT-,129,6.1838,U,633.0,0,PRE 1 PRENSA VIDRIO 26CH -UNIT- U
SER,1,SERRUCHO CHICO -10 U-,100,22.2615,U,634.0,0,SER 1 SERRUCHO CHICO -10 U- U
TOR,1,CAJA TORNILLOS 14 X 10,5,13.8515,U,635.0,0,TOR 1 CAJA TORNILLOS 14 X 10 U
TOR,2,CAJA TORNILLOS 16 X 13,1,16.6218,U,636.0,0,TOR 2 CAJA TORNILLOS 16 X 13 U
TOR,3,CAJA TORNILLOS 18 X 13,2,19.3922,U,637.0,0,TOR 3 CAJA TORNILLOS 18 X 13 U
CIN,1,"CINTA ENGOMADA DE 1""",4,106.9617,U,638.0,0,"CIN 1 CINTA ENGOMADA DE 1"" U"
CIN,2,"CINTA ENGOMADA DE 1.5""",5,133.7023,U,639.0,0,"CIN 2 CINTA ENGOMADA DE 1.5"" U"
CIN,3,"CINTA ENGOMADA DE 2""",6,166.6821,U,640.0,0,"CIN 3 CINTA ENGOMADA DE 2"" U"
CIN,4,"CINTA ENGOMADA DE 3""",4,258.4103,U,641.0,0,"CIN 4 CINTA ENGOMADA DE 3"" U"
CIN,5,"CINTA ENGOMADA DE 4""","6,000000954",308.3581,U,642.0,0,"CIN 5 CINTA ENGOMADA DE 4"" U"
TAN,1237 001,L 20 X 35 RECTA -KIRI-,"-0,579974234",270.6379,L,649.0,0,TAN 1237 001 L 20 X 35 RECTA -KIRI- L
TM,6523 001,RAMPA 65X23 KIRI,0,74.2703,L,661.0,0,TM 6523 001 RAMPA 65X23 KIRI L
TM,3518 001,INVERTIDA 35X18 KIRI,0,32.2747,L,662.0,0,TM 3518 001 INVERTIDA 35X18 KIRI L
TM,5025 001,INVERTIDA 50X25 KIRI,0,50.469,L,663.0,0,TM 5025 001 INVERTIDA 50X25 KIRI L
TM,3518 001,INCLINADA 35X18 KIRI,0,32.2747,L,664.0,0,TM 3518 001 INCLINADA 35X18 KIRI L
TM,5025 001,INCLINADA 50X25 KIRI,0,50.469,L,665.0,0,TM 5025 001 INCLINADA 50X25 KIRI L
TM,7025 001,INCLINADA 70X25 KIRI,0,72.8999,L,666.0,0,TM 7025 001 INCLINADA 70X25 KIRI L
TM,1515 001,CHATA 15X15 KIRI,0,10.2189,L,667.0,0,TM 1515 001 CHATA 15X15 KIRI L
TM,1520 001,L 15X20 KIRI,0,14.0822,L,668.0,0,TM 1520 001 L 15X20 KIRI L
TM,2020 001,CHATA 20X20 KIRI,0,15.4528,L,669.0,0,TM 2020 001 CHATA 20X20 KIRI L
